Description,ASIN,Manufacturer,Link
"EUME's Made in India Laptop Backpack, made of Slub Nylon PU Coated Fabric. The inside has Polyester Lining 190. This product comes under the Bag/ Backpack/ Laptop Bag/ Laptop Backpack category. Find it in 4 colours - Teal Blue, Pear Green, Grey, Bufftan Brown.
Capacity: 23 Litres ; Weight: 0.450 kgs; Dimensions: Centimeters: 31.8 x 16.5 x 45.1, Inches: 12.5 x 6.5 x 17.8; Main Compartment: 2; Front Pocket: 2 - Side Pocket to keep your water bottle; Padded Internal Laptop Sleeve; Padded Shoulder Straps; Padded Back Panel
Maintenance: Wipe with a clean, dry cloth when needed. This bag is Water & Dust Resistant and has a Premium Quality Zipper and Puller
Other Specs: This bag can be custom adjusted to different heights for perfect placement and fits most 15-inch laptops. It has an Internal Organization panel, a Top Carry Handle and a Heavy Duty Reversible Zipper",Manufacturer : EUME,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDA1NDU0NTYxNzAzNzQxOjE2NzU0MzE3MTU6c3BfYXRmX25leHQ6MjAxMTUxMDQ5MDgxOTg6OjA6Og&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Happy-Green%2Fdp%2FB08SW9W2FY%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675431715%26sprefix%3Dba%252Caps%252C283%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Outer material: Synthetic, color: navy; Waterproof
Capacity: 28 liters; Weight: 600 grams; Dimensions: 48 cms x 33 cms x 18 cms (LxWxH)
Number of compartments: 2
Laptop compatibility: Yes, laptop size: 16strap type: adjustable
Pocket Description: Utility Pocket; Style Name: Traditional Backpacks; Closure Type: Zipper; Age Range Description: Adult; Special Features: Back Padding
Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .",ASIN : B07G4HH78P,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDA1NDU0NTYxNzAzNzQxOjE2NzU0MzE3MTU6c3BfYXRmX25leHQ6MjAwOTc2MTIyMzIwOTg6OjA6Og&url=%2Fuppercase-Medium-Laptop-Backpack-2100EBP1%2Fdp%2FB0B5NBLGBQ%2Fref%3Dsr_1_50_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675431715%26sprefix%3Dba%252Caps%252C283%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Outer Material : PU / Synthetic Leather
Closure : Turn Lock; Compartments: 1; Pockets: 1
Dimensions : L x W x H - 8.1 x 2.75 x 6 inches
Inner Material Type : Polyester
Age Range Description : Adult; Outer Material Type: Polyurethane",ASIN : B08Q4FHQLN,,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-51
"WR PU Coated Dobby Polyester. WR PU Coated 900D Oxford Polyester. Color: Grey
Water Resistance: Water resistant, Wheels included: No
Capacity: 22 liters; Dimensions: 38 cms x 24 cms x 24 cms (LxWxH)
Number of compartments: 1
Laptop Compatibility: No, Strap Type: Adjustable.
Warranty type: Manufacturer; 1 year manufacturer warranty is non-transferable. Valid for 1 year from the original date of purchase.",ASIN : B075MMWRW6,,https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-52
"Outer Material: Polyester, Color: Black;Water resistant
Capacity: 21 liters; Dimensions: 32 cms x 14 cms x 46 cms (LxWxH)
Number of compartments: 3; Laptop Compatibility: Yes, Laptop Size: 15 inches
Warranty type: Manufacturer; 1 year
Closure Type: Zipper; Age Range Description: Adult",ASIN : B07N8GRWTZ,,https://www.amazon.in/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-53
"Lavie Broxa sling is a stylish carry for women. It is trendy, light weight, spacious and available in beautiful multiple colors. The bag is beautifully crafted from premium man-made leather with latest saffiano texture & wavy stitch pattern at the front. The bag has a well-stitched inner lining for easy accessibility and storage.
Dimension: 21.5 cm in length X 9 cm in width X 15 cm in height
Broxa sling bag has a flat bottom to keep your essentials intact. Interior has 1 main compartment, with a flap closure on top for safety. Inside the bags there is 1 slip pocket alongside 1 zip pocket, providing space for keeping your phone, portable charger, coins, sanitizer etc. The bag also has adjustable sling strap to carry it in various ways, fastened with gold toned hardware.
This sling is perfect for ladies to carry for a weekend getaway or even a day at the mall for shopping. It can be paired with a playsuit, a basic crop top & jeans. This spacious and sturdy bag makes for a perfect gift for all your occasions",ASIN : B08QTF8RPM,,https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-54
"✅ Well cushioned Laptop compartment and spacious enough to carry for cloth
✅ Breathable and adjustable shoulder straps relieve the stress of shoulder.
✅ Made of Durable Dhurry Fabric with metal zippers. Ensure a secure & long-lasting usage everyday & weekend
✅ Made From 100% Sustainable And Natural Materials.
✅ This Bag Is Entirely Designed And Made In India Using Finest Quality Materials.",ASIN : B09Z2G37YY,,https://www.amazon.in/Lavie-Spring-Summer-Womens-Sling/dp/B081KGQ3M4/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-55
"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippers
Right sized with sturdy stitching; Dimension: (28.6 cm x 17 cm x 46.1 cm)",ASIN : B0BC48NDJP,,https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3KCN32/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-56
"Padded laptop compartment fits up to 14 inch laptop, Front Access pocket & Back padding with Air mesh",ASIN : B0B68ZS5G1,,https://www.amazon.in/Backpack-Business-Resistant-Computer-Notebook/dp/B07GLRSVNZ/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-57
"Compartment: Outside 4 compartments including 2 water bottle slot, 1 buckle for keeping quick access belonging, Interior Key Chain Holder, Interior Compartment, Computer Interlayer, Interior Zipper Pocket, Interior Slot Pocket, side pocket for water bottle, Cell Phone Pocket, large main pocket. Multi-layer pocket and storage space, Back pouch for antitheft zipper pocket, Multifunction designs fits for 15.6-inch laptop up to 17-inch laptop.
Thick back Air mesh cushion supports your spinal during excess weight with air cushion belt carrying system easy to carry on shoulder
Water resistance material protecting your electronic devices.
Anti-theft zip at back protecting your electronic gadgets and cards and wallets protects your laptop and other electronic devices, External USB charging with earphone hole.; Use in daily life from office to gym to travelling.; Special Features: Earphone Cord Support; Strap Type: Adjustable; Age Range Description: Adult
Pattern Name: Solid",Item model number : BG1905,,https://www.amazon.in/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-58
"Padded, Comfortable Shoulder Strap
Easy access front pocket
Soft Grip handles
Stylish Design",ASIN : B0B527KJQZ,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDA1NDU0NTYxNzAzNzQxOjE2NzU0MzE3MTU6c3BfbXRmOjIwMDk3OTc1MTM3Njk4OjowOjo&url=%2FTYPIFY%25C2%25AE-Polyester-College-Preppy-Backpack%2Fdp%2FB0BNBTNWHS%2Fref%3Dsr_1_59_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675431715%26sprefix%3Dba%252Caps%252C283%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Capacity: 28 liters; Weight: 600 grams; Dimensions: 48 cms x 33 cms x 18 cms (LxWxH)
Concealed quick access Pockets on back panel; Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve
3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric, Embedded Organizer, USB and Headphone cable slot
Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot
Special Features: Back Padding; Closure Type: Zipper; Pocket Description: Utility Pocket; Age Range Description: Adult; Water Resistance Level: Waterproof
Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .",ASIN : B07G4D13L7,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDA1NDU0NTYxNzAzNzQxOjE2NzU0MzE3MTU6c3BfbXRmOjIwMTEzODMxMzMzMjk4OjowOjo&url=%2FHEROZ-Backpack-Swimming-Resistant-Notebook%2Fdp%2FB08CSWQF93%2Fref%3Dsr_1_60_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675431715%26sprefix%3Dba%252Caps%252C283%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Material: Faux Leather | Dimensions: 6.00H x 8.50L x 3.50W cm
Closure Type: Magnetic | Strap Type: Cross-Body; 2 Compartments; 1 Pocket
Care Instructions: Keep It Stuffed When Not In Use To Avoid Wrinkles.; Inner Material Type: Polyester
Outer Material Type: Polyurethane; Occasion Type: Casual
Age Range Description: Adult",ASIN : B07DVM41CW,,https://www.amazon.in/Skybags-Brat-Green-Casual-Backpack/dp/B08Z21W4TG/ref=sr_1_61?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-61
"Outer material: synthetic, color: navy. USB and headphone cable slot. With Rain Cover : No
Waterproof. Size:18 inch; Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)
Number of compartments: 2. External bottle pocket
Laptop compatibility: yes, laptop size: 16strap type: adjustable. Anti theft waterproof bag with anti sweat fabric on back and shoulder straps
Special Features: Back Padding; Closure Type: Zipper; Pocket Description: Utility Pocket; Age Range Description: Adult
Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .",ASIN : B07G4JQX2F,,https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09SHTBFQF/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-62
"Multiple Compartments and organizer
Main compartment to carry books, copies, pencil box, etc
Durable side pockets with elastic mesh fabric to hold the water bottle, sipper and protein shake etc.
Holding your bag on shoulder rather on hands convenient, to commute to your daily routine. Whether you are riding a two-wheeler, travelling by buses or catching trains to reach your destination, backpacks are the most suitable choice. Not restricted to laptops, backpacks are becoming common for colleges, schools and gyms.",Item model number : KK_School College Bag_Black,,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-63
"Made with High Quality fabric. Outer material: Nylon Twill - Soft, Durable and Water Resistant. Capacity: 36 liters, Dimensions: 48 x 33 x 23 cm Warranty: 12 months
3 Spacious compartment: Store your Books, Stationary, Accessories, Lunch boxes, etc. It will store plenty of items. Laptop Sleeve: Ensure that your laptop is stored separately and Securely! Organizer: Keep every single item separately in an arranged manner, with the help of our organizer. 2 side pocket: For holding water bottle, clipping pens or pencil or storing other items. 1 Front Pocket: Easily accessible. To keep all your essentials such as wallet, ticket, cosmetics.
Easy grab padded handle: For added comfort and convinience to hold the bag. Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!
Light Weight yet Durable to resist the weight of textbooks, stationary, lunch boxes. Can store all your college or office stationary, without any hassle.
Stylish & Cute: This bag is designed for those Millennials and GenZ, who aren't afraid to compromise on Utility or Fashion! It is a perfect, small bag to carry all the daily essentials while using it as a trendy accessory, or a travel bag or as a college backpack.",ASIN : B097JHQH13,,https://www.amazon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7/ref=sr_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-64
"Lavie Malnov tote is a stylish offering for ladies. It is durable, light weight and super spacious. Made from vegan leather, this large hand bag comes in Herringbone, Woven and Croco texture pattern at the front.
Herringbone Texture- 45 cm in length x 14 cm in width x 30 cm in height
Malnov hand bag has a top zip closure for safety and comfort. The interior has 2 slip pockets along with 1 zip pocket providing plenty of storage space for keeping phone, portable charger, keys, hairbrush, wallet, sunglasses, sanitizer and a pair of clothes.
This latest tote is perfect for women to carry for a weekend getaway or even a day at the mall for shopping. It can be paired with formal pants & blazer as well as with a basic crop top and jeans. This spacious and sturdy bag makes for a perfect gift for all your occasions.
The bag has a well stitched inner lining and high quality zippers for easy accessibility and storage.",ASIN : B07PKHC72N,,https://www.amazon.in/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-65
"Care Instructions: Hand Wash Only
Made with superior quality material: Nylon Twill, which ensures everlasting shine and soft feel to the bag. Colour: Pink. Unicorn Design Capacity: 27 liters, Weight: 440 g, Dimensions: 43 x 30 x 21 cm Warranty: 12 months
3 Spacious Compartments: Keep your Books, Stationary, Accessories, Lunch boxes, etc. It will store plenty of items. Organizer: Keep every single item separately in an arranged manner, with the help of our organizer. One side pocket: For holding water bottle, clipping pens or pencil or storing other items.
Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!
Light Weight yet Durable to resist the weight of textbooks, stationary, lunch boxes. Can store all your college or office stationary, without any hassle.
Easy grab padded handle: For added comfort and convinience to hold the bag.",ASIN : B09N9LYY8X,,https://www.amazon.in/Fostelo-CATLIN-Womens-Handbag-Maroon/dp/B079MD5F7R/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-66
"Size: 7""(H) x 4.3""(L) x 2.5""(W), perfect size to storage your napkin paper, lipsticks, mascara, coins, cards, keys, ect. Lightweight and easy to carry.
Top Quality Phone Purse & Fashionable: we offer multi-stylish printed small purse for women, fashion appearance, premium pu leather, firm double stitching edge, which owner durable polyester lining and upgraded zipper, sturdy, wear-resistant and not easy to be ripped. Improved zippers are smooth enough not to worry about stuck or separation issue.
Small Wallet Purse & Practical: cell phone crossbody purses come with 1 front phone pocket, 1 main zipper pocket, 1 bill compartment, 6 credit card slots, 2 clear ID window, large capacity can meet your daily needs, such as passport, credit cards, keys, lipsticks, headphones, tickets, cash and classify your personal small items.
Ideal Gifts Fit Most: small crossbody phone bag is a wonderful choice for shopping, dating, night out, travel,working when you do not want to take too much stuff. Meanwhile, we provide you additional gift cards which fit all kind of theme, such as birthdays, anniversaries, weddings, valentine's day, mother's day, Christmas and other special events, It's a best gift for womens, lady, girls, teenage,work mom etc",ASIN : B09GYGRB56,,https://www.amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-67
"Size: 7""(H) x 4.3""(L) x 2.5""(W), perfect size to storage your napkin paper, lipsticks, mascara, coins, cards, keys, ect. Lightweight and easy to carry.
Top Quality Phone Purse & Fashionable: we offer multi-stylish printed small purse for women, fashion appearance, premium pu leather, firm double stitching edge, which owner durable polyester lining and upgraded zipper, sturdy, wear-resistant and not easy to be ripped. Improved zippers are smooth enough not to worry about stuck or separation issue.
Small Wallet Purse & Practical: cell phone crossbody purses come with 1 front phone pocket, 1 main zipper pocket, 1 bill compartment, 6 credit card slots, 2 clear ID window, large capacity can meet your daily needs, such as passport, credit cards, keys, lipsticks, headphones, tickets, cash and classify your personal small items.
Ideal Gifts Fit Most: small crossbody phone bag is a wonderful choice for shopping, dating, night out, travel,working when you do not want to take too much stuff. Meanwhile, we provide you additional gift cards which fit all kind of theme, such as birthdays, anniversaries, weddings, valentine's day, mother's day, Christmas and other special events, It's a best gift for womens, lady, girls, teenage,work mom etc",ASIN : B09GYGRB56,,https://www.amazon.in/Tabelito-Office-Laptop-Briefcase-Women/dp/B08FKXCJNQ/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1675431715&sprefix=ba%2Caps%2C283&sr=8-68
"Size: 7""(H) x 4.3""(L) x 2.5""(W), perfect size to storage your napkin paper, lipsticks, mascara, coins, cards, keys, ect. Lightweight and easy to carry.
Top Quality Phone Purse & Fashionable: we offer multi-stylish printed small purse for women, fashion appearance, premium pu leather, firm double stitching edge, which owner durable polyester lining and upgraded zipper, sturdy, wear-resistant and not easy to be ripped. Improved zippers are smooth enough not to worry about stuck or separation issue.
Small Wallet Purse & Practical: cell phone crossbody purses come with 1 front phone pocket, 1 main zipper pocket, 1 bill compartment, 6 credit card slots, 2 clear ID window, large capacity can meet your daily needs, such as passport, credit cards, keys, lipsticks, headphones, tickets, cash and classify your personal small items.
Ideal Gifts Fit Most: small crossbody phone bag is a wonderful choice for shopping, dating, night out, travel,working when you do not want to take too much stuff. Meanwhile, we provide you additional gift cards which fit all kind of theme, such as birthdays, anniversaries, weddings, valentine's day, mother's day, Christmas and other special events, It's a best gift for womens, lady, girls, teenage,work mom etc",ASIN : B09GYGRB56,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDA1NDU0NTYxNzAzNzQxOjE2NzU0MzE3MTU6c3BfYnRmOjIwMDM2NjU1MDM2MjA0OjowOjo&url=%2FFATMUG-Laptop-Bag-Men-Convertible%2Fdp%2FB084LF4RT5%2Fref%3Dsr_1_69_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675431715%26sprefix%3Dba%252Caps%252C283%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Ergonomically Designed : Spacious with Multiple Pockets : Intuitive Access : Lightweight : Easily Adjustable Shoulder Strap : Cushioned Grab Handle : Padded Base
3 External Zippered Pockets : 1 Mesh Stash Pocket
Outer material type: Polyester
Item Package Weight : 340.0 grams",ASIN : B098FFTDKT,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDA1NDU0NTYxNzAzNzQxOjE2NzU0MzE3MTU6c3BfYnRmOjIwMTA4NzM1NjIyNDk4OjowOjo&url=%2FClownfish-Victor-Leather-Backpack-Laptops%2Fdp%2FB07PHSQ1SJ%2Fref%3Dsr_1_70_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675431715%26sprefix%3Dba%252Caps%252C283%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Faux Material material
Grey colored Satchel Handbag
Strap type : Single
Zip type closing mechanism.
Made in India",ASIN : B098TKJG1L,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzkwNjE1NjIxODA0MjcyOjE2NzU0MzE3MTg6c3BfYXRmX25leHQ6MjAwOTc1Nzk1MDE4OTg6OjA6Og&url=%2Fuppercase-Medium-Laptop-Backpack-2100EBP1%2Fdp%2FB0B68Y7H6F%2Fref%3Dsr_1_65_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675431718%26sprefix%3Dba%252Caps%252C283%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Leather material blue colored sling bag
14 centimeters height x 24 centimeters length x 7 centimeters width
Zip closure
2 compartments and 1 pocket
1 year domestic warranty against manufacturing defects",ASIN : B07SYJL1P7,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MzkwNjE1NjIxODA0MjcyOjE2NzU0MzE3MTg6c3BfYXRmX25leHQ6MjAwNTgxNDM4NzUxOTg6OjA6Og&url=%2FWenger-Backpack-function-designed-612019%2Fdp%2FB09KV8PG66%2Fref%3Dsr_1_66_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675431718%26sprefix%3Dba%252Caps%252C283%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Care Instructions: Hand Wash Only
Made of Canvas look a like Premium Heathered PU coated Polyester Fabric With 35 Litres Capacity
Casual Laptop Backpack with a color for everyone’s taste. Can fit all 15 inch laptops.
Two Main compartments with a laptop sleeve , Two front compartment with an Pen-Pocket/organiser , Two side pockets with a bottle holding elastic , Padded Ergonomic Shoulder Straps and cushioned back.
High Quality Nylon Threads and Polyester tapes , All YKK Zippers.; 1 Year warranty against all manufacturing defects.
Style Name: Classic; Pattern Name: Solid; Age Range Description: Adult; Pocket Description: Utility Pocket",ASIN : B0B7FK5B9X,,https://www.amazon.in/Priority-Spider-ltrs-School-Backpack/dp/B0849MZF6Q/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1675431718&sprefix=ba%2Caps%2C283&sr=8-67
"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality recycled material
Trolley sleeve to securely place the bags on the trolley bag; Quilted and Foam Padded Design
Spacious Main compartment with a wet pouch for toiletries inside
Separate Padded laptop compartment fits up to 15 inch Laptop; comfortable padded shoulder strap; Back padding with Air mesh
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)",ASIN : B0BNVXG27V,,https://www.amazon.in/Wesley-briefcase-professional-Briefcase-messenger/dp/B0BJVDN7VT/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1675431718&sprefix=ba%2Caps%2C283&sr=8-68
"Care Instructions: Wipe with Damp Cloth
CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Light Brown, Water resistant: Yes
MOST FEATURE RICH BACKPACK: Front bucket pocket: Retractable key holder, Card holder, Slip pockets, Zippered pocket, Flat opening tech compartment: 5 pockets to store all your tech accessories, Padded laptop compartment with lock strap, Fits up to a 16” laptop
INDUSTRY BEST FUNCTIONAL BACKPACK: 2 Hidden bottle/umbrella pocket, Hidden magnetic passport pocket, 10 thoughtfully designed pockets, Luggage sleeve, Silicon grab handle, Padded shoulder straps, Easy length adjustment buckles
MAXED OUT STORAGE: Dimension: 48 x 31 x 16 cm, Capacity: 24L
MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)",ASIN : B09V7R98XC,,https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1675431718&sprefix=ba%2Caps%2C283&sr=8-69
"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippers
Right sized with sturdy stitching; Dimension: (28.6 cm x 17 cm x 46.1 cm)",ASIN : B0BC4B4VRM,,https://www.amazon.in/Amazon-Brand-Womens-Sling-Mustard/dp/B07XBZR7SR/ref=sr_1_70?crid=2M096C61O4MLT&keywords=bags&qid=1675431718&sprefix=ba%2Caps%2C283&sr=8-70
"Style meets Function: Designed for 15.6” Lenovo laptops, the backpack walks the line between function and form. It utilizes durable materials, and robust features set to cater to its audience's every need. Ideal for professionals looking for a stylish and versatile backpack for a variety of occasions
Sturdy & Durable: Fleece-lined laptop compartment that fights dust and damage. Water-resistant, joint material design and tough coated base help withstand daily wear and tear
Travel friendly backpack with Uncompromising storage space for devices and essentials: The backpack comes with a ventilated and well-padded back panel for extra breathability. Adjustable shoulder straps offer the perfect fit. Spacious main compartment and Stretchy polyester side pockets offer quick access to your essentials
Styled in classic dark blue and dark grey, the colors accentuate the sturdy materials the bag is constructed of",ASIN : B08R7S55H4,,https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_71?crid=2M096C61O4MLT&keywords=bags&qid=1675431718&sprefix=ba%2Caps%2C283&sr=8-71
"Care Instructions: Wipe with Damp Cloth
Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.
USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.
Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.
Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects
Closure Type: Zipper; Lining Description: Polyester; Age Range Description: Adult",ASIN : B09VTCNN75,,https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1675431718&sprefix=ba%2Caps%2C283&sr=8-72
"Size: 7""(H) x 4.3""(L) x 2.5""(W), perfect size to storage your napkin paper, lipsticks, mascara, coins, cards, keys, ect. Lightweight and easy to carry.
Top Quality Phone Purse & Fashionable: we offer multi-stylish printed small purse for women, fashion appearance, premium pu leather, firm double stitching edge, which owner durable polyester lining and upgraded zipper, sturdy, wear-resistant and not easy to be ripped. Improved zippers are smooth enough not to worry about stuck or separation issue.
Small Wallet Purse & Practical: cell phone crossbody purses come with 1 front phone pocket, 1 main zipper pocket, 1 bill compartment, 6 credit card slots, 2 clear ID window, large capacity can meet your daily needs, such as passport, credit cards, keys, lipsticks, headphones, tickets, cash and classify your personal small items.
Ideal Gifts Fit Most: small crossbody phone bag is a wonderful choice for shopping, dating, night out, travel,working when you do not want to take too much stuff. Meanwhile, we provide you additional gift cards which fit all kind of theme, such as birthdays, anniversaries, weddings, valentine's day, mother's day, Christmas and other special events, It's a best gift for womens, lady, girls, teenage,work mom etc",ASIN : B09GYGRB56,,https://www.amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_73?crid=2M096C61O4MLT&keywords=bags&qid=1675431718&sprefix=ba%2Caps%2C283&sr=8-73
